name,price,description,recommended,email,image_url
falafel,15,Half Pita,TRUE,shevach@mail.com,https://purepng.com/public/uploads/thumbnail/purepng.com-falafelfelafefalafelpattysandwich-1411527418259ok2sz.png
falafel,20,Pita,TRUE,shevach@mail.com,https://purepng.com/public/uploads/thumbnail/purepng.com-falafelfelafefalafelpattysandwich-1411527418259ok2sz.png
falafel,25,Half Laffa,TRUE,shevach@mail.com,https://purepng.com/public/uploads/thumbnail/purepng.com-falafelfelafefalafelpattysandwich-1411527418259ok2sz.png
falafel,30,Laffa,TRUE,shevach@mail.com,https://purepng.com/public/uploads/thumbnail/purepng.com-falafelfelafefalafelpattysandwich-1411527418259ok2sz.png
chips,10,Small,TRUE,shevach@mail.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6-sYBgGC8_wNraoLFAA2KunZKwnvjWFg-5Q&usqp=CAU
falafel,15,Half Pita,TRUE,shalomfalafel@mail.com,https://purepng.com/public/uploads/thumbnail/purepng.com-falafelfelafefalafelpattysandwich-1411527418259ok2sz.png
falafel,20,Pita,TRUE,shalomfalafel@mail.com,https://purepng.com/public/uploads/thumbnail/purepng.com-falafelfelafefalafelpattysandwich-1411527418259ok2sz.png
falafel,25,Half Laffa,TRUE,shalomfalafel@mail.com,https://purepng.com/public/uploads/thumbnail/purepng.com-falafelfelafefalafelpattysandwich-1411527418259ok2sz.png
falafel,30,Laffa,TRUE,shalomfalafel@mail.com,https://purepng.com/public/uploads/thumbnail/purepng.com-falafelfelafefalafelpattysandwich-1411527418259ok2sz.png
chips,10,Small,TRUE,shalomfalafel@mail.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6-sYBgGC8_wNraoLFAA2KunZKwnvjWFg-5Q&usqp=CAU
pizza,60,Extra Cheese,TRUE,shevach@mail.com,https://upload.wikimedia.org/wikipedia/commons/3/39/Supreme_pizza.png
pizza,60,Extra Cheese,TRUE,shevach@mail.com,https://upload.wikimedia.org/wikipedia/commons/3/39/Supreme_pizza.png
